Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.07,0.01,0.6,0.13,200,140,134,64.16886458327116,22.37241888758573,12.113509400222267
0.002,0.07,0.01,0.6,0.135,203,137,139,63.88312689057385,25.263567905923267,9.305866371247639
0.002,0.07,0.01,0.65,0.115,205,133,128,62.99259300296836,27.086384459675592,14.292998227630926
0.002,0.07,0.01,0.65,0.12,203,134,134,63.04307216299229,26.26163543312643,10.880864459307826
0.002,0.07,0.01,0.65,0.125,203,138,132,63.897746868786626,24.190232451902936,13.277899321578479
0.002,0.07,0.01,0.65,0.13,203,137,133,63.91256619669929,24.64892395140722,12.457531322639447
0.002,0.07,0.01,0.65,0.135,207,136,136,63.91928595586201,27.21360703906156,11.16981238986654
0.002,0.07,0.01,0.75,0.115,210,133,126,63.55274728850763,28.6161171415798,16.26584189432847
0.002,0.07,0.01,0.75,0.12,210,134,130,63.69579317469467,28.767081187303145,14.171292191612617
0.002,0.07,0.01,0.75,0.125,211,137,134,64.75314073353431,27.968765152990017,13.563623926217083
0.002,0.07,0.01,0.75,0.13,211,136,131,64.39021384219762,28.34739845229628,14.596820123696318
0.002,0.07,0.01,0.75,0.135,210,134,135,63.942496529823856,29.023308543080717,11.869256476267932
0.002,0.07,0.01,0.8,0.115,212,133,127,63.84115344346051,29.229928271597096,16.175626598592086
0.002,0.07,0.01,0.8,0.12,210,136,131,64.24091473339067,28.027501871958073,14.380084183964858
0.002,0.07,0.01,0.8,0.125,212,137,131,64.7063352399754,28.117218371748574,15.180981143931493
0.002,0.07,0.01,0.8,0.13,214,137,130,65.02972223656997,28.249744507913565,16.321838482128783
0.002,0.07,0.01,0.8,0.135,211,135,133,64.3143732238523,28.768687970673557,13.59985314681451
0.002,0.07,0.01,0.85,0.115,212,135,126,64.23270700091614,28.44055461378242,17.1627676453056
0.002,0.07,0.01,0.85,0.12,211,135,137,64.27705238237084,29.11199835332956,11.195942129729207
0.002,0.07,0.01,0.85,0.125,212,136,140,64.70129775067916,29.80194872932357,9.873402760104423
0.002,0.07,0.01,0.85,0.13,214,137,138,65.1184731231501,29.544387690622788,11.841831122101487
0.002,0.07,0.01,0.85,0.135,213,134,137,64.29809169692464,30.8351180804462,11.158460098949273
0.002,0.16,0.01,0.6,0.115,175,115,126,55.16201742465017,25.02558950942535,3.5561764580152033
0.002,0.16,0.01,0.6,0.12,177,113,126,54.882133266659125,26.92691814775372,3.6656154187524104
0.002,0.16,0.01,0.6,0.125,177,115,128,55.372845737021535,26.220199168064674,3.1388118261950426
0.002,0.16,0.01,0.6,0.13,175,112,134,54.76881286677329,27.834151089980384,-1.379549711965411
0.002,0.16,0.01,0.6,0.135,175,113,134,55.05247805240282,27.43091311398932,-1.3227062483086804
0.002,0.16,0.01,0.65,0.115,179,112,126,55.02920251813137,28.361635850626897,3.824920640160201
0.002,0.16,0.01,0.65,0.12,180,113,125,55.255957985992694,27.8677507487064,4.615466277759106
0.002,0.16,0.01,0.65,0.125,179,112,128,55.10576326179775,28.49749325060208,2.566651952183019
0.002,0.16,0.01,0.65,0.13,181,113,130,55.5714725357242,29.02573667629216,2.309898381075781
0.002,0.16,0.01,0.65,0.135,184,116,131,56.63888613071704,28.561824980848417,3.281043030392694
0.002,0.16,0.01,0.75,0.115,187,110,126,55.62641283452827,32.32409831650968,4.581817874155325
0.002,0.16,0.01,0.75,0.12,188,107,126,54.99846704191522,34.41056812037607,3.689390504970924
0.002,0.16,0.01,0.75,0.125,188,112,124,55.973901909398336,31.889412938496843,6.039200242474352
0.002,0.16,0.01,0.75,0.13,186,112,128,55.832500643045805,31.691736900359867,3.6016026383167032
